iter	Logloss
0	0.6884406518
1	0.6836479271
2	0.6787328221
3	0.6740950526
4	0.6684928696
5	0.6638987024
6	0.6611010249
7	0.6565255056
8	0.6523334932
9	0.6479052215
10	0.6432426904
11	0.6380717917
12	0.6342585185
13	0.6292069392
14	0.6247762891
15	0.6204375183
16	0.6163592665
17	0.6117446993
18	0.6077622941
19	0.6047674792
20	0.6009738823
21	0.5968694277
22	0.5926962375
23	0.5891441752
24	0.5860208356
25	0.5840328734
26	0.5803155154
27	0.5769903816
28	0.5737426602
29	0.5714099768
30	0.5683759723
31	0.5649470417
32	0.5611629148
33	0.5574485045
34	0.5537552491
35	0.5505089075
36	0.5466300151
37	0.5427406942
38	0.5396600196
39	0.5367998546
40	0.5329385487
41	0.5294472228
42	0.5261450958
43	0.5228062008
44	0.5198638359
45	0.5166739819
46	0.5138480439
47	0.5106881555
48	0.5083802108
49	0.5055546422
50	0.5025000533
51	0.49989652
52	0.4963451204
53	0.4942119046
54	0.4907851441
55	0.4877023075
56	0.4844193763
57	0.4811883717
58	0.478809578
59	0.4760643974
60	0.4737931462
61	0.4709978241
62	0.4690888632
63	0.4666714513
64	0.4648724384
65	0.462275225
66	0.4597113354
67	0.4574223291
68	0.4556106546
69	0.4529093984
70	0.4502072382
71	0.4476615919
72	0.4456151414
73	0.445055788
74	0.4424766503
75	0.440419877
76	0.4381537196
77	0.4361421869
78	0.4351220758
79	0.432864134
80	0.4306570768
81	0.4275633487
82	0.4265291736
83	0.4240344299
84	0.4222216726
85	0.420169061
86	0.417958656
87	0.4154899753
88	0.4133562685
89	0.4115352325
90	0.4092551618
91	0.4073922818
92	0.4054624679
93	0.4040778068
94	0.4026260569
95	0.4011218874
96	0.3992087601
97	0.3973498946
98	0.3959266491
99	0.3944085284
100	0.3927142326
101	0.391182384
102	0.389831389
103	0.3876834877
104	0.3859849729
105	0.3840212993
106	0.382307585
107	0.3802473274
108	0.3790857338
109	0.3787466924
110	0.3772496611
111	0.3753070001
112	0.3735893871
